NODE_1_length_1206_cov_28.924712_cutoff_26,Chromosome,--
NODE_1_length_34987_cov_60.454540_cutoff_91,Chromosome,0,Pectate_lyase_3 Amidase_2 SH3_5 Peptidase_M78 Phage_integrase HTH_3 HTH_17 Terminase_1 HNH Phage_capsid Phage_prot_Gp6 Phage_Gp19 Collagen Spherulin4 DUF5403 D5_N
NODE_1_length_5450_cov_26.739252_cutoff_33,Chromosome,0,Rib Rib Rib Rib Rib Rib Rib Rib Rib Rib YSIRK_signal Gram_pos_anchor Rib
NODE_1_length_1442_cov_12.421978_cutoff_15,Chromosome,0,MORN_2 MORN_2 MORN_2 MORN_2 MORN_2 MORN_2 MORN_2 MORN_2 MORN_2
NODE_1_length_16874_cov_178.229803_cutoff_198,Chromosome,-43.75173338913511,GTP_EFTU GTP_EFTU_D3 GTP_EFTU_D2 GTP_EFTU_D3 GTP_EFTU EFG_IV EFG_II EFG_C GTP_EFTU_D2 Ribosomal_S7 Ribosom_S12_S23 RNA_pol_Rpb1_1 RNA_pol_Rpb1_5 RNA_pol_Rpb1_3 RNA_pol_Rpb1_2 RNA_pol_Rpb1_4 RNA_pol_Rpb1_2 RNA_pol_Rpb2_6 RNA_pol_Rpb2_1 RNA_pol_Rpb2_3 RNA_pol_Rpb2_7 RNA_pol_Rpb2_45 RNA_pol_Rpb2_2 RNA_pol_Rpb2_2 NusG KOW SecE Ribosomal_L12 Ribosomal_L12_N Ribosomal_L10 Ribosomal_L1 Ribosomal_L11_N Ribosomal_L11
NODE_1_length_61345_cov_59.452585_cutoff_10,Plasmid,3.02,Collagen_bind Big_8 Phage_holin_Dp1 CHAP Collagen Prophage_tail DUF1366 DUF859 Phage_capsid Peptidase_S78 SH3_5 CHAP Sipho_tail Phage_portal Terminase_1 HTH_7 HTH_24 DUF1599
NODE_2_length_3185_cov_28.397362_cutoff_10,Chromosome,0,GMP_synt_C Abhydrolase_6 Methyltransf_25
NODE_1_length_98867_cov_58.108786_cutoff_0,Chromosome,0,DUF1064 AAA DUF3799 Sigma70_r2 Sigma70_r4 Sigma70_r4_2 T5orf172 DUF1599 Thy1 GDPD LTD Metallophos dUTPase AAA_24 DnaB_C Glucosaminidase
NODE_2_length_56180_cov_12.863964_cutoff_0,Chromosome,0,Prophage_tail Terminase_1 Phage_holin_6_1 Terminase_1 Peptidase_S78 Phage_capsid Phage_portal Amidase_5 CW_binding_1 CW_binding_1 CW_binding_1 CW_binding_1 DUF1599
NODE_3_length_43276_cov_11.303919_cutoff_0,Plasmid,12.18,Thioredoxin Endonuclea_NS_2 BRCT CHAP Glucosaminidase AAA_31 DUF5592 DUF2786 MobL AAA_2 AAA_lid_9 ClpB_D2-small AAA PBECR4 LPD25 Toprim_2 Topoisom_bac Toprim AgI_II_C2 GbpC Adhesin_P1_N Gram_pos_anchor SSB TraG-D_C T4SS-DNA_transf Antigen_C PriCT_1
NODE_4_length_2685_cov_9.497316_cutoff_0,Chromosome,0,TaqI_C Eco57I AAA_14 DUF4143
NODE_5_length_2641_cov_2.691108_cutoff_0,Plasmid,2.52,Rep_2
NODE_6_length_2299_cov_4.417192_cutoff_0,Chromosome,0,DDE_Tnp_1
NODE_7_length_1896_cov_18.970313_cutoff_0,Chromosome,--
NODE_8_length_1476_cov_3.627591_cutoff_0,Chromosome,--
NODE_9_length_884_cov_5.510533_cutoff_0,Chromosome,0,DUF285 DUF285
NODE_10_length_698_cov_4.703704_cutoff_0,Chromosome,0,Mub_B2 MucBP_2 MucBP
NODE_11_length_688_cov_1.549918_cutoff_0,Chromosome,0,TonB_C TonB_C
NODE_1_length_2691_cov_3.410099_cutoff_5,Chromosome,--
NODE_2_length_1616_cov_5.531514_cutoff_5,Chromosome,0,Big_3 FMN_bind
NODE_3_length_1367_cov_5.544961_cutoff_5,Chromosome,--
