NODE_1_length_612_cov_60.454206_cutoff_70,Chromosome,--
NODE_1_length_12613_cov_8.712827_cutoff_0,Plasmid,11.77,Relaxase Resolvase Fic Toprim_2 DnaB_C Rep_3
NODE_2_length_10587_cov_6.633587_cutoff_0,Plasmid,11.77,ParE_toxin Resolvase Rep_3 Relaxase PhdYeFM_antitox
NODE_3_length_8378_cov_6.206240_cutoff_0,Plasmid,5.72,ABC_tran ComR_TPR HTH_3 TraG-D_C T4SS-DNA_transf
NODE_4_length_8140_cov_3.572740_cutoff_0,Plasmid,8.76,Cys_rich_KTR TnpV GTP_EFTU EFG_IV EFG_C EFG_II Relaxase MobC Relaxase
NODE_5_length_6019_cov_2.587344_cutoff_0,Plasmid,3.51,ParE_toxin Relaxase
NODE_6_length_4608_cov_3.436107_cutoff_0,Chromosome,0,FtsK_SpoIIIE
NODE_7_length_3738_cov_2.833652_cutoff_0,Chromosome,-2.7254443176964207,Sua5_yciO_yrdC Voltage_CLC CBS CBS Sua5_yciO_yrdC PseudoU_synth_2
NODE_8_length_2336_cov_10.625055_cutoff_0,Plasmid,5.35,Rep_3 ParE_toxin
NODE_9_length_2137_cov_1.118447_cutoff_0,Plasmid,5.48,Rep_1
NODE_10_length_2109_cov_3.425197_cutoff_0,Plasmid,5.48,Rep_1
NODE_11_length_1952_cov_2.680000_cutoff_0,Chromosome,--
NODE_12_length_1749_cov_25.246411_cutoff_0,Chromosome,--
NODE_13_length_1487_cov_2.121986_cutoff_0,Chromosome,--
NODE_14_length_1133_cov_7.120265_cutoff_0,Chromosome,--
NODE_15_length_1133_cov_2.133523_cutoff_0,Chromosome,0,YadA_stalk YadA_stalk
NODE_16_length_1112_cov_2.823188_cutoff_0,Chromosome,--
NODE_17_length_1094_cov_3.096362_cutoff_0,Chromosome,0,YadA_stalk YadA_stalk YadA_stalk
NODE_18_length_997_cov_1.559783_cutoff_0,Chromosome,--
NODE_19_length_995_cov_2.324619_cutoff_0,Chromosome,--
NODE_20_length_965_cov_1.047297_cutoff_0,Chromosome,0,YadA_stalk YadA_stalk
NODE_21_length_913_cov_1.602871_cutoff_0,Chromosome,0,DUF4853
NODE_22_length_869_cov_1.196970_cutoff_0,Chromosome,--
NODE_23_length_854_cov_1.433719_cutoff_0,Chromosome,0,OMP_b-brl_2
NODE_24_length_787_cov_1.440845_cutoff_0,Chromosome,--
NODE_25_length_743_cov_1.755255_cutoff_0,Chromosome,--
NODE_26_length_724_cov_0.499227_cutoff_0,Chromosome,0,DUF1310
NODE_27_length_683_cov_8.500000_cutoff_0,Chromosome,0,HemolysinCabind HCBP_related HemolysinCabind HemolysinCabind
NODE_28_length_683_cov_2.744224_cutoff_0,Chromosome,--
NODE_29_length_677_cov_1.201667_cutoff_0,Chromosome,0,HCBP_related HemolysinCabind HemolysinCabind HemolysinCabind HemolysinCabind HemolysinCabind
NODE_30_length_635_cov_1.458781_cutoff_0,Chromosome,--
NODE_31_length_623_cov_2.549451_cutoff_0,Chromosome,--
NODE_32_length_623_cov_2.095238_cutoff_0,Chromosome,0,HemolysinCabind HemolysinCabind HCBP_related HCBP_related
NODE_33_length_620_cov_2.044199_cutoff_0,Chromosome,0,Mub_B2 MucBP_2
NODE_34_length_612_cov_1.263551_cutoff_0,Chromosome,--
NODE_1_length_63052_cov_7.902644_cutoff_5,Plasmid,2.54,AAA_21 Peptidase_M78 HTH_3 HTH_31 HTH_19 AAA_19 UvrD_C CRISPR_Cse1 DNA_processg_A Peptidase_M78 N6_N4_Mtase N6_N4_Mtase DNA_methylase DUF4406 DUF3799 Phage_integrase RNA_lig_T4_1 NERD HNH Peptidase_M23 NLPC_P60 CbiA AAA_10
NODE_2_length_5181_cov_1.690635_cutoff_5,Chromosome,0,TonB_dep_Rec Plug SusD_RagB SusD-like_3 SusD-like_2 CarbopepD_reg_2
NODE_3_length_4358_cov_2.416024_cutoff_5,Chromosome,0,BrnT_toxin BrnA_antitoxin Phage_GPD Phage_tail_X Phage_P2_GpU BrnT_toxin
NODE_4_length_3781_cov_2.044276_cutoff_5,Chromosome,0,LRR_5 LRR_5 LRR_5 LRR_5 LRR_5 LRR_5 CW_binding_1 CW_binding_1 CW_binding_1 CW_binding_1 CW_binding_1 CW_binding_1 CW_binding_1
NODE_5_length_3230_cov_2.726927_cutoff_5,Chromosome,--
NODE_6_length_3188_cov_3.368692_cutoff_5,Chromosome,--
NODE_7_length_2652_cov_2.047379_cutoff_5,Chromosome,0,OMP_b-brl_3 CarbopepD_reg_2
NODE_8_length_2172_cov_2.306921_cutoff_5,Chromosome,--
NODE_9_length_2153_cov_4.726879_cutoff_5,Chromosome,0,DUF4956 DUF4956 VTC
NODE_10_length_1987_cov_2.070681_cutoff_5,Chromosome,--
NODE_11_length_1892_cov_2.458402_cutoff_5,Chromosome,0,MFS_1 MFS_1
NODE_12_length_1306_cov_3.515867_cutoff_5,Chromosome,0,Peptidase_S8
NODE_13_length_1245_cov_7.401541_cutoff_5,Chromosome,0,Transposase_mut
NODE_14_length_1104_cov_3.100292_cutoff_5,Chromosome,--
NODE_1_length_31493_cov_26.330087_cutoff_15,Plasmid,41.31,ArdA Rep_3 HTH_3 Resolvase CbiA Zeta_toxin T4SS-DNA_transf TrbI CagX VirB8 Zeta_toxin MobA_MobL SLT Topoisom_bac Toprim zf-C4_Topoisom zf-C4_Topoisom zf-C4_Topoisom TrbC VirB3 CagE_TrbE_VirB Peptidase_M23 T2SSE
