Contig name,Prediction,Log-likelihood ratio,Predicted HMMs
NODE_1_length_18731_cov_173.988045_cutoff_153,Chromosome,-41.35303177837149,Ribosom_S12_S23 GTP_EFTU EFG_IV EFG_II EFG_C GTP_EFTU_D2 Ribosomal_L1 RNA_pol_Rpb1_1 RNA_pol_Rpb1_5 RNA_pol_Rpb1_2 RNA_pol_Rpb1_3 RNA_pol_Rpb1_4 RNA_pol_Rpb1_2 Ribosomal_S7 RNA_pol_Rpb2_6 RNA_pol_Rpb2_1 RNA_pol_Rpb2_3 RNA_pol_Rpb2_7 RNA_pol_Rpb2_45 RNA_pol_Rpb2_2 RNA_pol_Rpb2_2 Ribosomal_L11_N Ribosomal_L11 Ribosomal_L12 Ribosomal_L12_N Ribosomal_L10 GTP_EFTU GTP_EFTU_D3 GTP_EFTU_D2 NusG KOW SecE
NODE_1_length_57383_cov_15.001047_cutoff_0,Chromosome,0,Spherulin4 AAA_24 DUF669 Terminase_6C Terminase_6 Glyco_hydro_25 Collar GDPD DNA_pol_A PDDEXK_1 DUF3310 SNF2_N Prim-Pol AAA_25 Phage_r1t_holin Phage_Mu_F HK97-gp10_like
NODE_2_length_52188_cov_37.780008_cutoff_0,Chromosome,0,CLP_protease ResIII Helicase_C dUTPase Spherulin4 Glyco_hydro_25 Peptidase_M23 SLT DUF3310 DNA_pol_A DNA_pol_A_exo1 AAA_25 Prim-Pol Phage_Gp19
NODE_3_length_51941_cov_5.780985_cutoff_0,Plasmid,2.58,P22_portal Terminase_3 Dam Phage_lysozyme RecA_dep_nuc NinB YadA_stalk YadA_anchor YadA_head DUF4043 LPD39 LPD23 LPD39 SSB RecT Cro Cro HTH_39 DnaB_C DnaB DUF1064 SSB
NODE_4_length_44429_cov_37.234758_cutoff_0,Plasmid,2.67,DUF5403 Phage_capsid Phage_Gp19 Phage_prot_Gp6 HNH LAGLIDADG_3 HTH_8 Spherulin4 SSB LAGLIDADG_3 Glyco_hydro_25 Phage_r1t_holin Collar HNH DnaB_C HTH_36 ERF DUF3310
NODE_5_length_39933_cov_14.923123_cutoff_0,Chromosome,0,Phage_portal Phage_capsid Peptidase_S78 Collagen Amidase_5 SH3_5 HNH Terminase_4 VRR_NUC Pectate_lyase_3 Collagen Sipho_tail SLT Sipho_Gp37 VirE SNF2_N DUF2815 DUF2800 DNA_pol_A
NODE_6_length_39482_cov_4.258394_cutoff_0,Chromosome,0,Phage_Gp19 DUF5309 DNA_methylase NLPC_P60 Glyco_hydro_25 SSB Phage_prot_Gp6 HNH_5 Phage_integrase Phage_int_SAM_3 HTH_31 HTH_26 RusA
NODE_7_length_2262_cov_5.192677_cutoff_0,Plasmid,11.06,TrbL TrbM TrbL DUF4189
NODE_8_length_1697_cov_1.886420_cutoff_0,Chromosome,--
NODE_9_length_1263_cov_4.194772_cutoff_0,Chromosome,--
NODE_10_length_1235_cov_36.060449_cutoff_0,Chromosome,--
NODE_11_length_1155_cov_2.169759_cutoff_0,Chromosome,--
NODE_12_length_1112_cov_2.014493_cutoff_0,Chromosome,--
NODE_13_length_938_cov_2.368177_cutoff_0,Chromosome,--
NODE_14_length_900_cov_2.364520_cutoff_0,Chromosome,0,LPAM_1 DUF3304
NODE_15_length_856_cov_0.899872_cutoff_0,Chromosome,--
NODE_16_length_701_cov_2.467949_cutoff_0,Chromosome,0,MucBP_2 Mub_B2
NODE_17_length_687_cov_1.711475_cutoff_0,Chromosome,--
NODE_18_length_683_cov_2.077558_cutoff_0,Chromosome,--
NODE_19_length_671_cov_1.840067_cutoff_0,Chromosome,--
NODE_20_length_668_cov_1.785110_cutoff_0,Chromosome,0,HemolysinCabind HemolysinCabind
NODE_21_length_632_cov_3.082883_cutoff_0,Chromosome,--
NODE_22_length_619_cov_0.785978_cutoff_0,Chromosome,--
NODE_23_length_591_cov_1.001946_cutoff_0,Chromosome,--
NODE_1_length_2085_cov_52.718127_cutoff_42,Chromosome,0,Abhydrolase_3 GntR FCD
NODE_1_length_4155_cov_16.785434_cutoff_20,Chromosome,0,ABC_tran FtsX MacB_PCD FtsX
NODE_2_length_2164_cov_9.878294_cutoff_20,Chromosome,--
NODE_3_length_1782_cov_19.668035_cutoff_20,Chromosome,0,Abhydrolase_1
NODE_1_length_6494_cov_8.818295_cutoff_5,Chromosome,0,Zot DUF2523 Neisseria_TspB
NODE_2_length_3317_cov_16.261111_cutoff_5,Chromosome,0,Condensation AMP-binding PP-binding AMP-binding_C
NODE_3_length_2089_cov_3.842942_cutoff_5,Chromosome,0,Abhydrolase_3 GntR FCD
NODE_4_length_2019_cov_6.088054_cutoff_5,Chromosome,-4.629640253553536,Amidohydro_1 Urease_alpha Urease_alpha
NODE_5_length_1979_cov_2.280757_cutoff_5,Chromosome,0,FGGY_N FGGY_C
NODE_6_length_1706_cov_10.789441_cutoff_5,Chromosome,-19.808706195024087,DUF1542 DUF1542 DUF1542 DUF1542 DUF1542 DUF1542 DUF1542 DUF1542
NODE_7_length_1591_cov_12.172391_cutoff_5,Chromosome,--
NODE_8_length_1382_cov_2.462069_cutoff_5,Chromosome,--
NODE_9_length_1262_cov_7.582278_cutoff_5,Chromosome,--
NODE_10_length_1241_cov_2.605670_cutoff_5,Chromosome,0,YadA_stalk
NODE_1_length_52032_cov_37.782042_cutoff_33,Chromosome,0,AAA_25 Prim-Pol CLP_protease Spherulin4 dUTPase DUF3310 ResIII Helicase_C DNA_pol_A DNA_pol_A_exo1 Phage_Gp19 SLT Glyco_hydro_25 Peptidase_M23
NODE_2_length_1311_cov_34.145057_cutoff_33,Chromosome,0,Transglycosylas
NODE_1_length_67676_cov_42.378881_cutoff_15,Chromosome,0,Sipho_Gp37 SLT Spherulin4 Prim-Pol D5_N AAA_24 PDDEXK_1 SNF2_N Helicase_C Ribonuc_red_lgC RNR_N Ribonuc_red_lgN Ribonuc_red_sm DNA_pol3_alpha PHP DNA_pol3_finger Phage_prot_Gp6 Terminase_1 HNH Thy1 PRA-PH Peptidase_C39_2 Phage_cap_E
NODE_2_length_44429_cov_37.234758_cutoff_15,Plasmid,2.67,Collar DUF3310 ERF SSB HNH Phage_prot_Gp6 DUF5403 LAGLIDADG_3 Phage_Gp19 Phage_capsid Spherulin4 LAGLIDADG_3 HTH_8 Glyco_hydro_25 HNH HTH_36 DnaB_C Phage_r1t_holin
