NODE_1_length_6831_cov_203.044714_cutoff_153,Plasmid,7.61,Relaxase MobC RrnaAD Transposase_mut
NODE_1_length_1903_cov_203.853231_cutoff_54,Chromosome,0,DDE_Tnp_1
NODE_1_length_23298_cov_22.771844_cutoff_10,Plasmid,5.93,FtsX Mor DUF1659 AgrB ABC_tran Radical_SAM LytTR Response_reg HATPase_c_5 ABC_tran ABC_membrane HTH_7 YvrJ DUF2922 Amidase_3 Resolvase Recombinase Fic Fic_N
NODE_2_length_3378_cov_6.038776_cutoff_10,Chromosome,0,Ntox44 PG_binding_1
NODE_1_length_45877_cov_4.601878_cutoff_0,Chromosome,0,DUF927 zf-CHC2 Phage_Gp15 Minor_capsid_2 LexA_DNA_bind Lar_restr_allev LytTR Response_reg PIF1 Peptidase_S74 Glyco_hydro_25 SH3_3 CHAP Phage_integrase AAA_24 S-l_SbsC_C Phage_GP20 YopX DUF551 tRNA_anti-like HTH_3 HNH_3 NUMOD4 NUMOD1 Phage_min_cap2 Terminase_3 Terminase_2 Terminase_3C HTH_3
NODE_2_length_31127_cov_3.162158_cutoff_0,Plasmid,7.83,ParBc BPD_transp_1 HTH_18 GGDEF_2 Rep_3 SBP_bac_1 Glyco_H_20C_C Glyco_hydro_20 GFO_IDH_MocA GFO_IDH_MocA_C Glyco_hydro_3 Glyco_hydro_3_C Fn3-like SBP_bac_8 BPD_transp_1 AAA_14 DUF4143 Arabinose_Isome Arabinose_Iso_C HTH_3 HTH_18 AraC_binding DUF1100 Lipase_GDSL_2 AAA_31 HTH_3 HTH_31 HTH_26 HTH_19 AAA_14 DUF4143 Lipase_GDSL_2
NODE_3_length_23651_cov_8.287520_cutoff_0,Plasmid,3.85,AAA_31 StbA GTP-bdg_N GTP-bdg_M MMR_HSR1 RrnaAD MmcB-like RNase_T GIY-YIG FtsK_SpoIIIE Resolvase
NODE_4_length_8303_cov_3.461828_cutoff_0,Chromosome,0,ABC_tran
NODE_5_length_7254_cov_10.085690_cutoff_0,Plasmid,10.63,HTH_7 MobC RHH_1 Relaxase
NODE_6_length_6024_cov_10.207836_cutoff_0,Plasmid,3.65,RNase_T MobA_MobL
NODE_7_length_5937_cov_148.477816_cutoff_0,Plasmid,3.65,Fic MobA_MobL
NODE_8_length_5475_cov_47.487588_cutoff_0,Plasmid,5.48,PemK_toxin Rep_1
NODE_9_length_5330_cov_2.932991_cutoff_0,Chromosome,--
NODE_10_length_4646_cov_20.600788_cutoff_0,Plasmid,3.89,RepA_C
NODE_11_length_4538_cov_26.900919_cutoff_0,Chromosome,0,HTH_23
NODE_12_length_4225_cov_1.948650_cutoff_0,Plasmid,8.86,Relaxase YoeB_toxin Rep_3
