NODE_1_length_4610_cov_76.300684_cutoff_153,Chromosome,--
NODE_1_length_1177_cov_67.217273_cutoff_54,Chromosome,0,TENA_THI-4
NODE_1_length_12474_cov_20.676696_cutoff_10,Plasmid,5.35,ThiF MFS_1 Rep_3 Phage_integrase Lip_A_acyltrans
NODE_2_length_1361_cov_13.616822_cutoff_10,Chromosome,--
NODE_1_length_68464_cov_118.201515_cutoff_70,Chromosome,0,Spherulin4 SLT PDDEXK_1 SNF2_N Helicase_C Ribonuc_red_sm Sipho_Gp37 Prim-Pol D5_N Ribonuc_red_lgC RNR_N Ribonuc_red_lgN Peptidase_C39_2 Phage_prot_Gp6 Phage_cap_E AAA_24 HNH Terminase_1 Thy1 PRA-PH DNA_pol3_alpha PHP DNA_pol3_finger
NODE_1_length_66385_cov_83.216641_cutoff_0,Chromosome,-6.7943416391899305,Collagen Collagen Collagen Rad52_Rad22 HTH_24 RNR_Alpha ATP-cone Ribonuc_red_lgC Macro Thy1 dUTPase SSB DUF370 SNF2_N Helicase_C Phage_lysozyme2 DnaB_C zf-CHC2 Toprim_2 Toprim_N Toprim_4 DUF5309 Terminase_6C Amidase_2 DNA_pol3_alpha DNA_pol3_finger PHP
NODE_2_length_65604_cov_303.640194_cutoff_0,Chromosome,0,ANT AntA Phage_cap_E Thy1 Phage_prot_Gp6 Terminase_1 Prim-Pol D5_N Flavodoxin_NdrI Peptidase_C39_2 Glyco_hydro_19 DNA_pol3_alpha PHP DNA_pol3_finger SLT AAA_24 Ribonuc_red_sm SNF2_N Helicase_C PDDEXK_1 Ribonuc_red_lgC RNR_N Ribonuc_red_lgN
NODE_3_length_59733_cov_7.858053_cutoff_0,Chromosome,0,DUF859 CHAP DUF1366 Phage_holin_1 Phage_portal Terminase_1 Phage_capsid Peptidase_S78 DUF1599 Big_8 Collagen_bind Gram_pos_anchor HTH_24 Sipho_tail Prophage_tail CHAP SH3_5
NODE_4_length_51407_cov_15.072336_cutoff_0,Chromosome,0,SNF2_N AAA_24 DUF669 DUF3987 DNA_pol_A_exo1 dCMP_cyt_deam_1 PhageMin_Tail Whib DNA_pol_A Amidase_2 CW_binding_1 CW_binding_1 CW_binding_1 CW_binding_1 ANT Glutaredoxin dUTPase
NODE_5_length_39311_cov_23.146786_cutoff_0,Plasmid,71.22,Relaxase LPD7 Peptidase_S26 T4SS-DNA_transf Topoisom_bac Toprim zf-C4_Topoisom zf-C4_Topoisom MPTase-PolyVal DUF1738 DUF5338 Peptidase_M15_2 VirB8 CagE_TrbE_VirB TrbH CagX T2SSE HTH_3 VirB3 TrbC TrbI KfrB Resolvase CRISPR_Cas2 TrbL TrbM Zeta_toxin KfrB TrfA SSB AAA_31 Activator-TraM KfrB ParBc KorB KorB_C
NODE_6_length_30005_cov_4.466018_cutoff_0,Plasmid,53.68,Resolvase Topoisom_bac Toprim_Crpt Toprim zf-C4_Topoisom Fic TrbM Cag12 T4SS-DNA_transf TrbI CagE_TrbE_VirB VirB3 T4SS TrbL SLT TrbC AAA_31 AAA_31 DUF1738 MPTase-PolyVal Rep_3 VirB8 CagX T2SSE
NODE_7_length_7672_cov_4.105596_cutoff_0,Plasmid,3.86,Mob_Pre
NODE_8_length_7459_cov_7.727987_cutoff_0,Plasmid,3.86,Mob_Pre
NODE_9_length_6423_cov_5.069493_cutoff_0,Chromosome,0,DUF11 DUF11 DUF11 DUF11 DUF11 DUF11 DUF11 DUF11 LRR_adjacent LRR_adjacent LRR_adjacent LRR_adjacent LRR_adjacent GbpC Adhesin_P1_N DUF11 DUF11
NODE_10_length_5503_cov_9.817177_cutoff_0,Plasmid,14.34,Rep_3 PemK_toxin MobA_MobL Rep_3
