Contig name,Prediction,Log-likelihood ratio,Predicted HMMs
NODE_1_length_39929_cov_54.723903_cutoff_54,Chromosome,-2.8672674252394614,Cytochrom_C552 ResB Cytochrom_C_asm cNMP_binding HTH_Crp_2 Hepar_II_III cNMP_binding HTH_Crp_2 AAA_14 DUF4143 Glyco_hydro_28 CarbopepD_reg_2 Plug DUF4979 Big_2 Big_2 Big_2 SusD_RagB SusD-like_3 Sigma70_r4_2 Sigma70_r2 Alginate_lyase SusD_RagB SusD-like_3 CarbopepD_reg_2 Plug Sigma70_r4_2 Sigma70_r2 HTH_18 Y_Y_Y Reg_prop Reg_prop HTH_18 Y_Y_Y Reg_prop Reg_prop Cytochrom_NNT AAA_14 DUF4143 DUF4959 F5_F8_type_C
NODE_1_length_47425_cov_5.279273_cutoff_0,Plasmid,3.12,NUMOD4 HNH_3 RecT NUMOD4 NUMOD3 Phage_holin_1 DnaB_2 Amidase_2 Sipho_tail Prophage_tail SLT BNR_2 Phage_terminase CxxCxxCC XhlA IstB_IS21 Bro-N ANT RHH_5 N6_N4_Mtase Phage_prot_Gp6 HTH_3 Phage_Gp15 PhageMin_Tail VRR_NUC HTH_3 Bro-N ANT Minor_capsid_2 Phage_min_cap2 Phage_GP20 Phage_integrase Phage_int_SAM_3 Arm-DNA-bind_4
NODE_2_length_45229_cov_185.999579_cutoff_0,Chromosome,0,PhageMin_Tail AAA_15 NUMOD4 HNH_3 NUMOD4 NUMOD1 DUF2400 SSB RNase_T NUMOD4 HNH_3 HNH_3 NUMOD4 NUMOD4 HNH_3 Amidase_3 ASCH HNH_3
NODE_3_length_43324_cov_6.395449_cutoff_0,Chromosome,-2.4326031624361217,Phage_prot_Gp6 SLT Phage_holin_5_2 Metallophos Big_2 Phage_integrase Phage_int_SAM_3 Arm-DNA-bind_4 Amidase_2 ResIII Helicase_C DUF2829 Terminase_6 Phage_terminase Phage_Mu_F HTH_3 AAA_15 ANT AntA AAA_24 HTH_23 DUF739 zf-ribbon_3 HTH_3 DNA_methylase RusA AAA_25 PriCT_2 RVT_1 GIIM HK97-gp10_like DUF4355 Rho_N Phage_connect_1 Phage_tail_3
NODE_4_length_37013_cov_6.054446_cutoff_0,Plasmid,6.12,Phage_r1t_holin HSDR_N Amidase_2 PG_binding_1 ERCC4 zf-CHC2 DUF927 HTH_56 DUF551 DUF551 Phage_Gp15 HTH_3 HTH_3 Resolvase Recombinase Zn_ribbon_recom Uma2 DUF4325 Sigma70_r4 Phage_min_cap2 Terminase_6 Phage_GP20 AAA_24 DUF3846 Sipho_Gp157
NODE_5_length_36219_cov_3.386808_cutoff_0,Plasmid,2.73,DZR PAPS_reduct Phage_portal Terminase_1 YopX CLP_protease Phage_capsid HK97-gp10_like Phage_H_T_join AAA_25 Prophage_tail HTH_31 CHAP Phage_holin_4_1 Phage_XkdX Phage_integrase Phage_int_SAM_3 HTH_3 DUF4236 HTH_3 Phage_CI_repr ERCC4
NODE_6_length_7493_cov_335.060680_cutoff_0,Plasmid,5.35,Gp49 DNA_methylase HTH_3 Rep_3
NODE_7_length_6466_cov_46.227579_cutoff_0,Plasmid,5.35,AAA_14 DUF4143 Rep_3
NODE_8_length_5520_cov_13.310491_cutoff_0,Plasmid,3.86,RelB YafQ_toxin Mob_Pre YafQ_toxin
NODE_9_length_5057_cov_1587.192972_cutoff_0,Plasmid,8.86,Rep_3 Relaxase
NODE_10_length_4623_cov_2.013858_cutoff_0,Plasmid,10.69,Rep_3 Rep_3
NODE_11_length_4225_cov_2789.132835_cutoff_0,Plasmid,8.86,Rep_3 YoeB_toxin Relaxase
NODE_12_length_4139_cov_2.996553_cutoff_0,Plasmid,14.34,Rep_3 MobA_MobL Rep_3
NODE_13_length_2991_cov_4.004118_cutoff_0,Plasmid,5.35,Rep_3
NODE_14_length_2862_cov_5363.967325_cutoff_0,Chromosome,--
NODE_15_length_2491_cov_86.715824_cutoff_0,Chromosome,0,Phage_integrase
NODE_16_length_2338_cov_32.685095_cutoff_0,Chromosome,0,RHH_1
NODE_17_length_2266_cov_1.726359_cutoff_0,Chromosome,0,Ig_3
NODE_18_length_2173_cov_11.761927_cutoff_0,Plasmid,5.48,Rep_1
NODE_19_length_1725_cov_1.473908_cutoff_0,Chromosome,--
NODE_20_length_965_cov_0.665541_cutoff_0,Chromosome,--
NODE_21_length_889_cov_1.516010_cutoff_0,Chromosome,-7.353431011060955,BMC BMC BMC
NODE_1_length_49548_cov_6.113198_cutoff_5,Plasmid,2.68,CLP_protease Phage_terminase Terminase_GpA Phage_portal_2 Holin_SPP1 3D HD Phage_holin_4_1 Phage_cap_E Baseplate_J Tail_P2_I Phage_P2_GpU N6_N4_Mtase HTH_38 HTH_38 rve Peptidase_M15_3 Phage_XkdX RVT_1 Phage_TAC_7 Phage_tube DNA_methylase Phage_tail_X PhageMin_Tail DUF2513 SWIM DUF4942
NODE_2_length_47137_cov_18.118870_cutoff_5,Plasmid,10.03,DUF5055 Phage_tail_3 RVT_1 PriCT_1 Resolvase Recombinase Zn_ribbon_recom ResIII Helicase_C DNA_methylase RecU HTH_3 Thy1 MazG DUF1599 YqaJ Phage_prot_Gp6 PemK_toxin D5_N Pox_D5 Resolvase ERF DUF5309 GP3_package
NODE_3_length_43961_cov_6.602475_cutoff_5,Chromosome,0,Lar_restr_allev DUF1064 SSB Phage_holin_5_2 Terminase_3 Terminase_3C HTH_3 DUF3862 Phage_capsid Minor_capsid_2 tRNA_anti-like Phage_Gp15 Phage_integrase Phage_min_cap2 Phage_prot_Gp6 Phage_prot_Gp6 HTH_3 Terminase_2 Amidase_3 NAGPA
NODE_4_length_38161_cov_6.614195_cutoff_5,Plasmid,14.12,PcfJ SSB HTH_31 Recombinase Resolvase RelB DUF2313 Baseplate_J HicA_toxin HicB_lk_antitox DUF2634 Cys_rich_KTR Terminase_1 Terminase_1 Terminase_4 Phage_portal Phage_capsid DUF2001 Phage_holin_5_2 Amidase_3 NAGPA HTH_3 Phage_H_T_join Phage_sheath_1C HK97-gp10_like DUF4236 DUF3102 AAA_31 DnaB_C DnaB HTH_36
NODE_5_length_36239_cov_5.293706_cutoff_5,Plasmid,2.91,ResIII Helicase_C AAA_25 PriCT_2 RusA Glyco_hydro_25 Phage_holin_1 Resolvase Recombinase Zn_ribbon_recom HTH_3 DUF4352 Phage_prot_Gp6 Terminase_6 Terminase_2 Phage_min_cap2 bPH_1 AAA_24 AAA_15 Phage_Gp15
NODE_6_length_34775_cov_8.421408_cutoff_5,Plasmid,2.48,RVT_1 Phage_holin_4_1 HTH_38 rve HTH_3 HTH_38 DarA_C SSB 23S_rRNA_IVP Phage_lysozyme2 Amidase_2 SSB DUF3850 ParBc AAA_31 VRR_NUC Phage_capsid Terminase_1 Phage_portal Peptidase_S78 HNH Sipho_tail Sipho_Gp37
NODE_7_length_3233_cov_1.779785_cutoff_5,Chromosome,0,MatE MatE Zip HSP20
NODE_8_length_1653_cov_4.496827_cutoff_5,Chromosome,0,LZ_Tnp_IS66 TnpB_IS66
NODE_9_length_1264_cov_1.427127_cutoff_5,Chromosome,0,Peptidase_M16_C
