NODE_1_length_929_cov_67.848592_cutoff_42,Chromosome,--
NODE_1_length_638_cov_168.488414_cutoff_54,Chromosome,0,Big_11 Big_11 Big_11
NODE_1_length_1499_cov_347.094233_cutoff_91,Chromosome,--
NODE_1_length_1694_cov_184.175015_cutoff_70,Chromosome,0,Trp_ring
NODE_2_length_638_cov_168.488414_cutoff_70,Chromosome,0,Big_11 Big_11
NODE_1_length_1853_cov_41.715090_cutoff_33,Chromosome,0,Y1_Tnp Y1_Tnp Y1_Tnp
NODE_1_length_45718_cov_199.578405_cutoff_198,Chromosome,-32.687335875914414,SBP_bac_3 AzlD EntA_Immun HTH_3 MFS_1 TetR_N AzlC DUF308 DUF308 DUF308 SBP_bac_5 BPD_transp_1 BPD_transp_1 OppC_N ABC_tran oligo_HPY ABC_tran oligo_HPY LysR_substrate HTH_1 HTH_3 Malic_M malic tRNA_Me_trans NUDIX GIDA GIDA_assoc RNase_J_C Lactamase_B Lactamase_B_2 RMMBL DUF1447 Peptidase_M22 Acetyltransf_1 Peptidase_M22 NUDIX His_kinase Response_reg HTH_18 HTH_AraC Trep_Strep DUF624 ABC_tran NIL BPD_transp_1 Lipoprotein_9 Peptidase_M20 Arginosuc_synth Lyase_1 ASL_C2 ABC_tran SBP_bac_3 DDE_Tnp_1 Flavodoxin_NdrI
NODE_1_length_2400_cov_45.552734_cutoff_10,Chromosome,0,DDE_Tnp_ISL3 zf-ISL3 DUF4230
NODE_1_length_1205_cov_32.768617_cutoff_15,Chromosome,--
NODE_1_length_5686_cov_72.106793_cutoff_0,Plasmid,5.48,FtsK_SpoIIIE RNA_helicase Rep_1
NODE_2_length_4809_cov_210.714286_cutoff_0,Plasmid,5.35,ParE_toxin Cation_efflux Rep_3
NODE_3_length_4548_cov_148.194364_cutoff_0,Plasmid,12.65,MobA_MobL MobA_MobL VbhA Rep_3
NODE_4_length_4194_cov_150.716784_cutoff_0,Plasmid,5.48,FtsK_SpoIIIE Rep_1
NODE_5_length_3897_cov_3.749476_cutoff_0,Plasmid,9.21,Rep_3 Mob_Pre
NODE_6_length_3808_cov_3.473332_cutoff_0,Chromosome,--
NODE_7_length_3131_cov_3.707269_cutoff_0,Plasmid,5.20,RepL
NODE_8_length_2822_cov_4.301275_cutoff_0,Plasmid,5.35,Rep_3
NODE_9_length_2635_cov_72.232995_cutoff_0,Plasmid,5.48,Rep_1
NODE_10_length_1736_cov_1.964436_cutoff_0,Chromosome,0,Big_11 Big_11 Big_11 Big_11 Big_11 Big_11
NODE_11_length_1706_cov_1.257827_cutoff_0,Chromosome,-17.332617920646072,DUF1542 DUF1542 DUF1542 DUF1542 DUF1542 DUF1542 DUF1542
NODE_12_length_1643_cov_2.466794_cutoff_0,Chromosome,0,YadA_stalk
NODE_13_length_1424_cov_3.068300_cutoff_0,Chromosome,0,MucBP_2 Mub_B2 MucBP MucBP
NODE_14_length_1091_cov_4.858974_cutoff_0,Chromosome,0,YadA_stalk YadA_stalk
NODE_15_length_1084_cov_0.927507_cutoff_0,Chromosome,--
NODE_16_length_1031_cov_1.574423_cutoff_0,Chromosome,--
NODE_17_length_990_cov_0.593647_cutoff_0,Chromosome,--
NODE_18_length_869_cov_1.857323_cutoff_0,Chromosome,0,SHIRT SHIRT SHIRT SHIRT
NODE_19_length_768_cov_0.345876_cutoff_0,Chromosome,0,HigB-like_toxin HTH_3
NODE_20_length_742_cov_0.706767_cutoff_0,Chromosome,--
NODE_21_length_716_cov_10.762128_cutoff_0,Chromosome,0,SpaA
NODE_22_length_623_cov_4.604396_cutoff_0,Chromosome,--
NODE_1_length_39299_cov_2.900948_cutoff_5,Chromosome,0,HK97-gp10_like CHAP HNH_3 Phage_holin_Dp1 Peptidase_S78 Terminase_1 Phage_portal HTH_3
NODE_2_length_8798_cov_6.055957_cutoff_5,Chromosome,0,DUF2523 Putative_G5P Phage_X Phage_CRI DUF3892 Secretin Secretin Zot
NODE_3_length_2753_cov_4.052317_cutoff_5,Chromosome,--
NODE_4_length_1185_cov_7.102888_cutoff_5,Chromosome,-2.4251681839494843,DUF1176
