Contig name,Prediction,Log-likelihood ratio,Predicted HMMs
NODE_1_length_7493_cov_320.855313_cutoff_153,Plasmid,5.35,Rep_3 HTH_3 Gp49 DNA_methylase
NODE_1_length_14341_cov_64.515844_cutoff_54,Chromosome,0,TonB_dep_Rec Plug CarbopepD_reg_2 CarboxypepD_reg SusD_RagB SusD-like_3 Ureide_permease Ureide_permease PfkB IU_nuc_hydro DNA_pol_A
NODE_1_length_16848_cov_6.506171_cutoff_10,Chromosome,-41.35303177837146,Ribosomal_L11_N Ribosomal_L11 Ribosomal_L10 Ribosomal_L1 GTP_EFTU EFG_IV EFG_II EFG_C GTP_EFTU_D2 Ribosomal_S7 RNA_pol_Rpb2_6 RNA_pol_Rpb2_1 RNA_pol_Rpb2_3 RNA_pol_Rpb2_7 RNA_pol_Rpb2_45 RNA_pol_Rpb2_2 RNA_pol_Rpb2_2 Ribosomal_L12 Ribosomal_L12_N Ribosom_S12_S23 RNA_pol_Rpb1_1 RNA_pol_Rpb1_5 RNA_pol_Rpb1_2 RNA_pol_Rpb1_3 RNA_pol_Rpb1_4 RNA_pol_Rpb1_2 NusG KOW SecE GTP_EFTU GTP_EFTU_D3 GTP_EFTU_D2
NODE_2_length_9540_cov_7.395963_cutoff_10,Chromosome,0,Sigma70_r2 Sigma70_r4_2 ABC_tran NLPC_P60
NODE_3_length_7117_cov_7.573437_cutoff_10,Chromosome,0,HTH_3 Acetyltransf_1 PadR RelE NYN MutS_V
NODE_4_length_1676_cov_5.120700_cutoff_10,Chromosome,0,ESPR
NODE_1_length_93849_cov_255.637600_cutoff_0,Plasmid,7.63,DUF932 Phage_gp49_66 DNA_ligase_A_M Sipho_Gp157 Thy1 AAA_30 UvrD_C_2 DNA_pol_B RepL PG_binding_3 Glyco_hydro_108
NODE_2_length_51650_cov_110.357241_cutoff_0,Plasmid,2.61,Terminase_2 RusA dUTPase DUF2612 Baseplate_J DUF3383 Rad52_Rad22 Gp138_N N6_N4_Mtase DUF4054 DUF2213 Phage_Mu_F DUF2184 DUF1073 Terminase_3 Terminase_3C
NODE_3_length_50768_cov_18.403326_cutoff_0,Chromosome,-1.0133922649533353,Baseplate_J Tail_P2_I Phage_XkdX RVT_1 HTH_19 Resolvase Recombinase Zn_ribbon_recom tRNA_U5-meth_tr YopX SNF2_N Helicase_C Hydrolase_2 DUF927 HTH_56 zf-CHC2 HTH_23 DUF1492 HTH_3 N6_N4_Mtase ParBc Amidoligase_2 GGACT Terminase_GpA DUF2190 Phage_portal_2 Peptidase_S78 Gifsy-2 Phage_TAC_7 Phage_tube Phage_tail_X PhageMin_Tail LysM LysM GPW_gp25 Phage_P2_GpU
NODE_4_length_9203_cov_2.540105_cutoff_0,Chromosome,0,DUF739 AAA_25 HTH_3 Phage_integrase Phage_int_SAM_3 Sigma70_r4_2
NODE_5_length_6133_cov_5.029062_cutoff_0,Plasmid,3.65,YoeB_toxin RelB MobA_MobL
NODE_6_length_5837_cov_3.243056_cutoff_0,Chromosome,--
NODE_7_length_4355_cov_9.007948_cutoff_0,Plasmid,9.06,Mob_Pre RepL
