NODE_1_length_821_cov_69.376344_cutoff_26,Chromosome,--
NODE_1_length_16874_cov_51.515806_cutoff_54,Chromosome,-43.7517333891351,RNA_pol_Rpb1_1 RNA_pol_Rpb1_5 RNA_pol_Rpb1_3 RNA_pol_Rpb1_2 RNA_pol_Rpb1_4 RNA_pol_Rpb1_2 Ribosomal_L12 Ribosomal_L12_N Ribosomal_L11_N Ribosomal_L11 GTP_EFTU_D3 RNA_pol_Rpb2_6 RNA_pol_Rpb2_1 RNA_pol_Rpb2_3 RNA_pol_Rpb2_7 RNA_pol_Rpb2_45 RNA_pol_Rpb2_2 RNA_pol_Rpb2_2 Ribosomal_L1 Ribosomal_S7 GTP_EFTU EFG_IV EFG_II EFG_C GTP_EFTU_D2 GTP_EFTU GTP_EFTU_D3 GTP_EFTU_D2 Ribosomal_L10 NusG KOW SecE Ribosom_S12_S23
NODE_1_length_2253_cov_34.005055_cutoff_20,Chromosome,0,ABC_tran ABC_tran
NODE_1_length_4413_cov_38.434271_cutoff_118,Chromosome,0,PHO4 DUF3349
NODE_1_length_2747_cov_188.240824_cutoff_70,Chromosome,0,DUF1211 DUF389 Ion_trans_2
NODE_1_length_39926_cov_36.795930_cutoff_10,Chromosome,0,DUF4352 Phage_capsid Terminase_1 Phage_integrase CLP_protease SH3_5 CHAP Sipho_tail ORF6C DUF3102 RNase_T BRCT HTH_3 Phage_integrase Phage_int_SAM_3 Arm-DNA-bind_4 DUF1642 Phage_portal PhageMin_Tail YopX DUF1642 Methyltransf_11 HNH Phage_holin_1 DnaB_C DnaB Phg_2220_C Phage_rep_org_N IstB_IS21 Prophage_tail Phage_TTP_1 SSB DUF3310
NODE_2_length_39845_cov_12.251584_cutoff_10,Chromosome,0,Helicase_C HNH_3 Phage_holin_Dp1 CHAP Terminase_1 Peptidase_S78 Phage_portal DUF2800 HTH_23 HK97-gp10_like
NODE_3_length_37941_cov_21.796905_cutoff_10,Chromosome,0,RecT DUF1351 DUF1372 DUF1642 DUF1492 YopX DUF3882 Phage_integrase Phage_int_SAM_3 Arm-DNA-bind_4 Amidase_5 CW_binding_1 CW_binding_1 CW_binding_1 CW_binding_1 CW_binding_1 DUF859 DUF1366 Peptidase_S24 IstB_IS21 Phage_rep_org_N DnaB_2 Phage_min_cap2 CdiA_C Phage_prot_Gp6 Terminase_6 Rho_N Prophage_tail Sipho_tail Phage_Gp15 Minor_capsid_3 Minor_capsid_2 Minor_capsid_1 Collagen Phage_holin_1
NODE_4_length_5955_cov_6.792787_cutoff_10,Chromosome,0,VWA_2
NODE_1_length_32766_cov_17.893879_cutoff_15,Plasmid,79.06,SSB TraH TrbI_Ftype TrbC_Ftype TraE TraG_N TraU DUF2726 CbiA TraV TrbI TrwC AAA_30 AAA_19 TraF Histone_HNS TraC_F_IV TraL TraK TrwB_AAD_bind DnaJ SLT TraF TraN TraA
NODE_1_length_91275_cov_40.692482_cutoff_0,Chromosome,0,dUTPase ThiF Phage_lysozyme Cpn60_TCP1 ResIII Myb_DNA-bind_6 DUF1064 DUF3799 AAA_24 TROVE RNA_ligase DnaB_C DNA_pol_A DNA_pol_A_exo1 Thy1 DUF3310
NODE_2_length_67153_cov_7.294785_cutoff_0,Chromosome,-6.7943416391899305,Rad52_Rad22 DNA_pol3_alpha DNA_pol3_finger PHP DnaB_C zf-CHC2 Toprim_2 Toprim_N Toprim_4 Thy1 dUTPase DUF370 RNR_Alpha ATP-cone Ribonuc_red_lgC SNF2_N SSB LAGLIDADG_3 Terminase_6C DUF5309 Amidase_2 Gp58 Collagen Phage_lysozyme2
NODE_3_length_61821_cov_273.193687_cutoff_0,Plasmid,3.57,Phage_holin_Dp1 ZoocinA_TRD Amidase_2 Phage_lysozyme2 MucBP MucBP BspA_v HTH_31 PDDEXK_1 DHFR_1 dUTPase DUF3310 AAA_24 AAA_25 RepB_primase Big_8 Collagen_bind DNA_pol_A DNA_pol_A_exo1
