NODE_1_length_3228_cov_2.955252_cutoff_5,Chromosome,--
NODE_2_length_1929_cov_3.136609_cutoff_5,Chromosome,0,DUF285
NODE_1_length_5254_cov_8.893568_cutoff_0,Plasmid,5.35,Rep_3 OMP_b-brl_2
NODE_2_length_2885_cov_16.402066_cutoff_0,Chromosome,--
NODE_3_length_2215_cov_12.238541_cutoff_0,Plasmid,5.48,Rep_1
NODE_4_length_1876_cov_2.445247_cutoff_0,Chromosome,--
NODE_5_length_932_cov_3.501754_cutoff_0,Chromosome,--
NODE_6_length_787_cov_5.561972_cutoff_0,Chromosome,--
NODE_7_length_732_cov_1.094656_cutoff_0,Chromosome,0,PIN
NODE_8_length_707_cov_3.179365_cutoff_0,Chromosome,0,Rib Rib Rib
NODE_9_length_671_cov_2.287879_cutoff_0,Chromosome,0,HemolysinCabind HemolysinCabind HemolysinCabind
NODE_10_length_653_cov_2.036458_cutoff_0,Chromosome,0,Big_6
NODE_11_length_638_cov_2.511586_cutoff_0,Chromosome,0,Big_11 Big_11 Big_11
NODE_12_length_626_cov_1.309654_cutoff_0,Chromosome,--
NODE_13_length_624_cov_1.036563_cutoff_0,Chromosome,--
NODE_14_length_608_cov_2.290019_cutoff_0,Chromosome,0,HCBP_related HemolysinCabind HemolysinCabind HemolysinCabind
NODE_15_length_605_cov_1.774621_cutoff_0,Chromosome,0,FIVAR FIVAR
NODE_16_length_605_cov_1.649621_cutoff_0,Chromosome,--
NODE_17_length_599_cov_1.821839_cutoff_0,Chromosome,0,FIVAR FIVAR
NODE_18_length_590_cov_3.651072_cutoff_0,Chromosome,0,HCBP_related HemolysinCabind HemolysinCabind
