NODE_1_length_5886_cov_726.420382_cutoff_153,Chromosome,--
NODE_1_length_39883_cov_54.824298_cutoff_26,Chromosome,0,ResIII Helicase_C AAA_25 PriCT_2 Big_8 Collagen_bind RusA Sipho_tail Prophage_tail Phage_holin_6_1 ZoocinA_TRD Amidase_5 Phage_integrase Arm-DNA-bind_4 Phage_int_SAM_3 Phage_Gp15 ANT Bro-N Peptidase_M78 HTH_26 AAA_23 Minor_capsid_3 Minor_capsid_2 Minor_capsid_1 Phage_min_cap2 ADPrib_exo_Tox AAA_24 Terminase_3 Terminase_3C Phage_prot_Gp6 HTH_3 DUF1642 DUF1492 Terminase_2
NODE_1_length_169033_cov_106.243466_cutoff_42,Chromosome,-6.670190715251223,Band_7 AAA Glucosaminidase RNase_H PDDEXK_1 NLPC_P60 Peptidase_C92 NUDIX AAA Fer4_12 Thy1 NRDD ATP-cone DnaB_C AAA_24 Helicase_C ResIII ResIII DUF2828 Sigma70_r2 Sigma70_r3 Sigma70_r1_2 Sigma70_r4 DNA_ligase_A_M DNA_pol_A DNA_pol_A_exo1 Glyco_hydro_108 HTH_36 DUF192 PCRF RF-1 Metallophos P-mevalo_kinase YqeY Metallophos dUTPase LRR_5 NUMOD1
NODE_2_length_41933_cov_53.361860_cutoff_42,Chromosome,0,HTH_3 Peptidase_M78 Phage_integrase Phage_connect_1 Phage_capsid CLP_protease Phage_portal Phage_TTP_1 DUF806 HK97-gp10_like Phage_H_T_join SLT CHAP Phage_TAC_3 HNH Terminase_4 DUF1340 DUF1492 YopX DUF1372 Terminase_1 DUF1056 RusA SSB IstB_IS21 DUF1351 RecT HTH_3 DUF1642 ORF6C DUF4145 Collagen_bind Big_8 DnaB_2 Phage_holin_4_1 Phage_holin_1 Amidase_5 Sipho_tail Prophage_tail Collagen Collagen DUF859
NODE_3_length_19812_cov_46.845908_cutoff_42,Plasmid,6.35,AAA_31 Phage_integrase Fil_haemagg_2 Fil_haemagg_2 Fil_haemagg_2 Fil_haemagg_2 Mob_Pre ShlB POTRA_2 POTRA_3 Haemagg_act
NODE_1_length_41043_cov_100.907313_cutoff_91,Plasmid,3.51,HK97-gp10_like DUF2001 Phage_sheath_1C Phage_sheath_1 Phage_TAC_5 Amidase_3 DUF1492 Terminase_2 Terminase_3 Terminase_3C Phage_prot_Gp6 Phage_Mu_F Phage_integrase Phage_int_SAM_3 Phage_int_SAM_5 SNF2_N DUF3310 Baseplate_J Collagen DUF2634 DUF2577 DNA_pol_A DUF2815 YadA_stalk YadA_anchor YadA_head YadA_head YadA_head DUF2800 VRR_NUC VirE PcfJ DUF2313 HTH_26 HTH_3 HTH_17 DUF4325 Phage_GP20
NODE_1_length_6647_cov_137.415830_cutoff_54,Plasmid,5.35,Rep_3 YoeB_toxin
NODE_1_length_23286_cov_97.596665_cutoff_118,Chromosome,-49.84191268537438,Ribosomal_L10 Ribosomal_L12 Ribosomal_L12_N Ribosomal_L11_N Ribosomal_L11 Ribosomal_L1 SecE NusG KOW COX1 Ribosomal_L33 GTP_EFTU_D3 GTP_EFTU GTP_EFTU_D3 GTP_EFTU_D2 Ribosomal_L7Ae Ribosom_S12_S23 Ribosomal_S7 GTP_EFTU EFG_IV EFG_II EFG_C GTP_EFTU_D2 PMT_2 Lyase_1 FumaraseC_C RNA_pol_Rpb2_6 RNA_pol_Rpb2_3 RNA_pol_Rpb2_1 RNA_pol_Rpb2_45 RNA_pol_Rpb2_7 RNA_pol_Rpb2_2 RNA_pol_Rpb2_2 RNA_pol_Rpb1_1 RNA_pol_Rpb1_5 RNA_pol_Rpb1_2 RNA_pol_Rpb1_3 RNA_pol_Rpb1_4
NODE_1_length_1394_cov_236.522399_cutoff_70,Chromosome,0,MucBP_2 Mub_B2 MucBP_2
NODE_1_length_35254_cov_106.809023_cutoff_10,Chromosome,0,ROS_MUCR HTH_3 CHAP Phage_integrase HTH_3 HTH_3 HTH_17 DUF4326 SSB HK97-gp10_like Phage_prot_Gp6 MerR_1 NLPC_P60 SSB
NODE_2_length_15771_cov_59.816745_cutoff_10,Chromosome,0,HTH_3 HTH_31 Terminase_1 Peptidase_S78 Phage_portal HNH H_lectin Amidase_2
