Contig name,Prediction,Log-likelihood ratio,Predicted HMMs
NODE_1_length_39368_cov_12.803899_cutoff_10,Chromosome,0,DNA_pol_A DUF2815 DUF2800 SNF2_N VirE Phage_portal VRR_NUC Collagen Amidase_5 SH3_5 Terminase_4 HNH Phage_capsid Peptidase_S78 Pectate_lyase_3 Sipho_Gp37 SLT Sipho_tail Collagen
NODE_2_length_15698_cov_5.523078_cutoff_10,Chromosome,0,HTH_3 HNH Phage_integrase Phage_portal Peptidase_S78 HTH_17
NODE_3_length_1826_cov_7.151515_cutoff_10,Chromosome,0,DKNYY DKNYY
NODE_4_length_1369_cov_6.924923_cutoff_10,Chromosome,--
NODE_1_length_60411_cov_58.041469_cutoff_0,Chromosome,0,CHAP SH3_5 CHAP DUF1366 DUF859 Prophage_tail Sipho_tail Phage_portal Phage_capsid Peptidase_S78 Terminase_1 HTH_24 DUF1599 Big_8 Collagen_bind Gram_pos_anchor Phage_holin_1
NODE_2_length_56609_cov_125.252211_cutoff_0,Chromosome,0,Flg_new Prophage_tail DUF859 Phage_cap_E Phage_GP20 Phage_prot_Gp6 Terminase_6 Phage_holin_Dp1 Amidase_5 CW_binding_1 CW_binding_1 CW_binding_1 CW_binding_1 SNF2_N Helicase_C DUF2786 PhageMin_Tail Toprim_2 DNA_pol3_delta2 DNA_pol3_delta2 DNA_pol3_delta2 DNA_pol3_gamma3 dUTPase RecA RecA RecU PTPS QueC DNA_pol_A DNA_pol_A_exo1 Vut_1 GTP_cyclohydroI Fer4_14 Sigma70_r2 DnaB_C IstB_IS21
NODE_3_length_49161_cov_21.752771_cutoff_0,Chromosome,0,Pectate_lyase_3 Spherulin4 DUF2746 DUF3310 Amidase_2 DUF2815 DNA_pol_A DNA_pol_A_exo1 AAA_33 Phage_prot_Gp6 Phage_cap_E SNF2_N VirE DUF2800 DUF2800
NODE_4_length_36369_cov_9.894550_cutoff_0,Plasmid,2.67,SSB DUF4373 DnaB_2 RusA ERF CW_7 CW_7 Rho_N DUF4355 Phage_Mu_F Phage_prot_Gp6 Terminase_3 Terminase_3C N6_N4_Mtase ParBc Mtd_N Gp58 CW_7 Amidase_2 Phage_holin_1 Collagen HNHc_6 Phage_connect_1 Sipho_tail Prophage_tail Phage_tail_2 Phage_TAC_12 HK97-gp10_like
NODE_5_length_4566_cov_11.239252_cutoff_0,Plasmid,8.84,Sigma70_r4_2 ParE_toxin RHH_1 Replicase PriCT_1
NODE_6_length_4395_cov_10.742473_cutoff_0,Chromosome,0,FtsK_SpoIIIE Rep_trans Rol_Rep_N
NODE_7_length_3660_cov_6.215462_cutoff_0,Chromosome,0,Rep_trans FtsK_SpoIIIE Rep_trans
NODE_8_length_3460_cov_71.608336_cutoff_0,Plasmid,5.35,Rep_3 Phage_int_SAM_1
NODE_9_length_3128_cov_7.333661_cutoff_0,Plasmid,5.35,VbhA Rep_3
NODE_10_length_2745_cov_3.102324_cutoff_0,Chromosome,--
NODE_11_length_2269_cov_3.185219_cutoff_0,Chromosome,0,DDE_Tnp_1
