NODE_1_length_1208_cov_135.300619_cutoff_54,Chromosome,--
NODE_1_length_155550_cov_20.785082_cutoff_10,Chromosome,-2.7486665274283197,Peptidase_S80 Bac_DNA_binding Ribonuc_red_sm Ribonuc_red_sm Ribonuc_red_sm 5_3_exonuc_N Adenylsucc_synt DUF1768 DNA_pol_B Tn7_Tnp_TnsA_N RNase_H Cpn10 Cpn10 Cpn60_TCP1 ResIII Helicase_C AAA_21 PIF1 Herpes_Helicase DNA_pol_B DNA_pol_B_exo1 gp32 AAA_23 Metallophos Ribonuc_red_lgC Ribonuc_red_lgC Ribonuc_red_lgC ResIII Helicase_C OrfB_Zn_ribbon HTH_OrfB_IS605 DnaB_C Terminase_6 Lipase_GDSL_2 Guanylate_kin DNA_ligase_aden BRCT DNA_ligase_OB PTCB-BRCT N6_N4_Mtase RecA AAA HD_3
NODE_2_length_6819_cov_5.415455_cutoff_10,Chromosome,0,Glyco_hydro_4 Glyco_hydro_4C PTS_EIIC PTS_EIIB Exo_endo_phos Glyco_hydro_77 UTRA GntR Glyco_hydro_4C
NODE_1_length_3872_cov_81.042424_cutoff_70,Plasmid,2.53,DUF308 DUF308 DDE_3 HTH_33 HTH_29
NODE_2_length_1187_cov_85.331532_cutoff_70,Chromosome,0,Zn_Tnp_IS1595 MtN3_slv
NODE_1_length_53884_cov_4.992064_cutoff_0,Chromosome,0,GGACT Amidoligase_2 HIRAN Collagen dUTPase AAA_25
NODE_2_length_39313_cov_14.225482_cutoff_0,Plasmid,71.22,Activator-TraM DUF5338 Relaxase LPD7 T4SS-DNA_transf Peptidase_S26 Topoisom_bac Toprim zf-C4_Topoisom zf-C4_Topoisom MPTase-PolyVal DUF1738 SSB TrfA HTH_3 AAA_31 ParBc KorB KorB_C KfrB CagE_TrbE_VirB VirB8 CagX TrbH T2SSE TrbC VirB3 Zeta_toxin KfrB Peptidase_M15_2 TrbI Resolvase CRISPR_Cas2 KfrB TrbL TrbM
NODE_3_length_28903_cov_21.622147_cutoff_0,Plasmid,27.62,MobA_MobL NLPC_P60 Peptidase_S26 SLT SSB Resolvase AAA_31 NLPC_P60 VirB8 CagX T2SSE TrbI T4SS-DNA_transf DUF87 CagE_TrbE_VirB
NODE_4_length_14227_cov_51.510459_cutoff_0,Plasmid,10.52,MobC Relaxase PhdYeFM_antitox YoeB_toxin Toprim_2 Resolvase
NODE_5_length_5945_cov_38.127641_cutoff_0,Plasmid,8.86,Rep_3 Relaxase
NODE_6_length_4842_cov_5.378174_cutoff_0,Plasmid,5.35,Rep_3 CRISPR_Cas2
