Contig name,Prediction,Log-likelihood ratio,Predicted HMMs
NODE_1_length_70100_cov_236.154406_cutoff_198,Plasmid,18.06,DUF4375 Phage_integrase Phage_int_SAM_4 Phage_int_SAM_1 TetR_N AAA_30 UvrD_C_2 Viral_helicase1 DDE_Tnp_1_3 DUF3875 AAA_10 DUF4134 CbiA DUF3408 DUF3876 DUF4141 Peptidase_S15 Flavodoxin_4 NPCBM_assoc NPCBM_assoc HTH_42 ABC2_membrane_2 ABC_tran HATPase_c Response_reg HisKA PAS_3 Ig_mannosidase Mannosidase_ig Glyco_hydro_2 ORF6N ArdA PFL-like Gly_radical Phage_integrase Phage_int_SAM_5 Arm-DNA-bind_5 Glyco_hydro_3 Glyco_hydro_3_C Fn3-like Radical_SAM OMP_b-brl_2 Glyco_hydro_3 Glyco_hydro_3_C Fn3-like PA14 NigD_C NigD_N Sigma70_r2 Sigma70_r4_2 Relaxase YWFCY TraG-D_C T4SS-DNA_transf TrwB_AAD_bind AbiEii RibD_C AAA_25 DUF3945 DUF4099 Topoisom_bac Toprim_Crpt Toprim DUF3873 CtnDOT_TraJ VirB8 DUF3989 Transposon_TraM TraO DUF3872 DUF4138 Imm-NTF2 HTH_18 DUF4284 DUF4284 DUF1911 DUF1910 RteC HTH_17 DUF4133
NODE_1_length_12250_cov_353.788466_cutoff_257,Chromosome,0,HTH_3 HipA_C Couple_hipA SSB LPD28 N6_Mtase DUF3791 DUF3990 YpsA DDE_Tnp_1 DUF4372
NODE_1_length_45159_cov_139.957056_cutoff_54,Chromosome,-4.848775783483855,N6_N4_Mtase Peptidase_S49 DUF4160 DUF2442 Phage_lysozyme HTH_3 Phage_integrase Phage_int_SAM_5 Arm-DNA-bind_5 PhageMin_Tail RVT_1 CotH
NODE_2_length_2680_cov_63.590857_cutoff_54,Chromosome,--
NODE_1_length_56562_cov_30.663185_cutoff_10,Plasmid,2.91,Phage_cap_E Phage_prot_Gp6 YopX RecT AAA_23 SSB PAPS_reduct Phage_pRha HTH_26 MazG ORF6C Bro-N HTH_3 Glyco_hydro_25 Resolvase Zn_ribbon_recom GerE SSB PAPS_reduct Lactamase_B YopX DUF1653 Inhibitor_G39P DNA_methylase DNA_methylase DNA_methylase Phg_2220_C
NODE_2_length_45984_cov_49.919903_cutoff_10,Plasmid,2.60,HTH_3 Phage_min_cap2 Minor_capsid_2 AntA HTH_3 DUF551 ORF6C Bro-N AAA_15 PAPS_reduct MethyltransfD12 Peptidase_S74 Phage_holin_4_1 Phage_lysozyme Phage_T4_gp36 Peptidase_S74 DUF4417 Terminase_3 Terminase_2 Phage_terminase HTH_3 Big_2 Big_2 Big_2 Phage_integrase DUF3799 YopX Phage_Gp15 Minor_capsid_3
NODE_3_length_43770_cov_28.740714_cutoff_10,Plasmid,5.20,LemA DUF3850 DUF4417 ParBc tRNA_anti-like zinc_ribbon_2 Glyco_hydro_25 AAA DUF3850 DNA_methylase Terminase_3 Terminase_3C Phage_min_cap2 Minor_capsid_2 Sipho_Gp157 HNHc_6 Phage_GP20 Phage_holin_5_2 HTH_19 Phage_Gp15 DUF4417 Phage_integrase
NODE_4_length_35815_cov_15.069254_cutoff_10,Chromosome,0,Glyco_hydro_25 BppU_N Peptidase_S74 HTH_31 TM2 Phage_holin_1 DUF551 Phage_GP20 HTH_Tnp_1_2 Terminase_3 Terminase_3C Phage_min_cap2 DUF4926 Phage_Gp15 Minor_capsid_2 HTH_38 HTH_38 RHH_1 Prophage_tail IstB_IS21 SSB RusA
NODE_5_length_9368_cov_19.076526_cutoff_10,Plasmid,2.48,HTH_3 BrnA_antitoxin AAA_31 BrnT_toxin
NODE_6_length_3241_cov_10.051201_cutoff_10,Chromosome,0,ABC_tran FtsX
