Contig name,Prediction,Log-likelihood ratio,Predicted HMMs
NODE_1_length_2144_cov_31.163038_cutoff_91,Chromosome,--
NODE_1_length_33526_cov_8.088792_cutoff_10,Plasmid,3.54,Phage_integrase DUF3310 Peptidase_M78 HTH_3 HTH_3 Phage_integrase Phage_int_SAM_3 Arm-DNA-bind_4 DUF5361 Phage_prot_Gp6 Phage_holin_4_1 DUF1642 YopX HeH SSB DnaB_C DnaB IstB_IS21 Phg_2220_C RepA_N DUF4355 Phage_holin_6_1 Prophage_tail Peptidase_S74 Amidase_2 CW_binding_1 CW_binding_1 CW_binding_1 CW_binding_1 Phage_Gp19 Phage_capsid DUF1642
NODE_2_length_1391_cov_25.815830_cutoff_10,Chromosome,0,MucBP_2 Mub_B2
NODE_1_length_8280_cov_88.584298_cutoff_70,Chromosome,-2.5577663053942086,Secretin Zot DUF2523 Phage_DNA_bind DUF1496 Phage_CRI Phage_X
NODE_1_length_60635_cov_22.579048_cutoff_0,Plasmid,3.57,DNA_pol_A_exo1 AAA_25 RepB_primase DUF1642 DUF1642 DNA_pol_A aGPT-Pplase1 MucBP MucBP Amidase_2 ZoocinA_TRD HNH_3 dUTPase AAA_24 DHFR_1 DUF3310 PDDEXK_1 HNH_3 NUMOD4 Phage_holin_Dp1 CHAP Phage_lysozyme2 BspA_v RuvC Phage_Mu_F
NODE_2_length_32675_cov_38.954384_cutoff_0,Chromosome,0,YopX Prim-Pol Amidase_5 ZoocinA_TRD Helicase_C HNH KGG YqaJ C1q Amidase_5
NODE_3_length_29883_cov_7.412568_cutoff_0,Plasmid,5.66,MobL HTH_36 ParBc AAA_31 Phage_integrase Integrase_DNA ResIII SSB T4SS-DNA_transf Phage_lysozyme2 Peptidase_M15_4 DUF87
NODE_4_length_12536_cov_25.230677_cutoff_0,Plasmid,11.77,Relaxase Resolvase Toprim_2 Rep_3 DnaB_C
NODE_5_length_10214_cov_7.127059_cutoff_0,Plasmid,5.35,Sel1 Sel1 Sel1 Sel1 Sel1 TPR_7 Sel1 Sel1 HicA_toxin Rep_3
NODE_6_length_6777_cov_12.653582_cutoff_0,Plasmid,5.93,Resolvase HTH_7
