Contig name,Prediction,Log-likelihood ratio,Predicted HMMs
NODE_1_length_4401_cov_130.589038_cutoff_153,Chromosome,0,PHO4 DUF3349
NODE_1_length_1696_cov_506.177270_cutoff_257,Chromosome,--
NODE_1_length_18737_cov_121.982637_cutoff_118,Plasmid,6.44,HTH_17 RepA_C SSB CHAP AAA_10 TpcC
NODE_1_length_11768_cov_5.537593_cutoff_10,Chromosome,0,Pkinase Transglut_core DUF58 DUF58 Big_9 fn3 Big_9 Big_9 Big_9 Big_9 Cadherin_4 Cadherin_4 Cadherin_4
NODE_2_length_7156_cov_18.388473_cutoff_10,Plasmid,8.86,Rep_3 CRISPR_Cas2 OMP_b-brl Relaxase
NODE_1_length_34119_cov_85.001586_cutoff_70,Chromosome,0,HTH_3 HTH_17 HTH_26 HTH_26 Phage_integrase Peptidase_M78 Amidase_2 Sipho_tail Spherulin4 Pectate_lyase_3 DUF2746 Collagen Phage_capsid DUF5361 Phage_Gp19 VRR_NUC HNH_5 Phage_prot_Gp6 Terminase_6
NODE_1_length_61886_cov_102.816823_cutoff_0,Plasmid,3.57,N6_N4_Mtase DUF3882 CHAP CW_binding_1 CW_binding_1 CW_binding_1 CW_binding_1 CW_binding_1 Phage_lysozyme2 DUF3310 DHFR_1 AAA_24 dUTPase Phage_holin_Dp1 MucBP MucBP BspA_v DNA_pol_A DNA_pol_A DNA_pol_A_exo1 AAA_25 RepB_primase DHFR_1 DUF1642 PDDEXK_1 HTH_3 HNH_3 Phage_Mu_F
NODE_2_length_49653_cov_114.174641_cutoff_0,Plasmid,26.17,Fic RepA_C DUF4913 TraG-D_C Resolvase HTH_7 TrwC AAA_30 AAA_19 HTH_17 RepA_C CHAP AAA_10 TpcC SSB SLT CHAP CbiA
NODE_3_length_8704_cov_3.682856_cutoff_0,Chromosome,0,Secretin Zot DUF2523 Putative_G5P Phage_X Phage_CRI
NODE_4_length_6474_cov_3.974988_cutoff_0,Chromosome,0,TraO HTH_38
NODE_5_length_4441_cov_11.466774_cutoff_0,Plasmid,3.51,Relaxase
NODE_6_length_4172_cov_7.822466_cutoff_0,Chromosome,0,Rep_trans Rol_Rep_N AAA_22
NODE_7_length_4106_cov_8.628196_cutoff_0,Plasmid,5.35,Rep_3 YoeB_toxin
NODE_8_length_3732_cov_2.183311_cutoff_0,Plasmid,3.86,Mob_Pre RHH_1
NODE_9_length_3427_cov_11.784776_cutoff_0,Plasmid,6.39,Rep_2 Mob_Pre RHH_1
NODE_10_length_3396_cov_524.090991_cutoff_0,Chromosome,0,HTH_36
NODE_11_length_2386_cov_3.236033_cutoff_0,Plasmid,2.65,RHH_3
NODE_12_length_2384_cov_3.388817_cutoff_0,Plasmid,5.48,Rep_1
NODE_13_length_2353_cov_10.350176_cutoff_0,Plasmid,2.65,Rep_trans RHH_3
NODE_14_length_2323_cov_10.299199_cutoff_0,Chromosome,--
NODE_15_length_1827_cov_15.556571_cutoff_0,Chromosome,--
NODE_16_length_878_cov_1.475655_cutoff_0,Chromosome,0,Methylase_S
NODE_17_length_785_cov_3.162429_cutoff_0,Chromosome,--
NODE_18_length_767_cov_3.494203_cutoff_0,Chromosome,--
NODE_19_length_731_cov_1.685015_cutoff_0,Chromosome,--
NODE_20_length_707_cov_2.857143_cutoff_0,Chromosome,--
NODE_21_length_698_cov_5.442834_cutoff_0,Chromosome,0,Mub_B2 MucBP_2 MucBP_2
NODE_22_length_641_cov_3.292553_cutoff_0,Chromosome,0,Big_6 Big_6
NODE_23_length_617_cov_2.140741_cutoff_0,Chromosome,0,YadA_stalk YadA_stalk
NODE_1_length_49931_cov_9.984655_cutoff_5,Chromosome,0,BspA_v Glyco_hydro_25 Phage_holin_Dp1 RuvC HK97-gp10_like CLP_protease Glucosaminidase CHAP BspA_v HD DNA_pol_A LAGLIDADG_3 AAA_25 DNA_pol_A_exo1 DUF3310 dUTPase DUF1642 DUF1642 Spore_Cse60 HTH_3 HTH_3 AAA_24 PDDEXK_1
NODE_2_length_1793_cov_2.213287_cutoff_5,Chromosome,0,RHS_repeat
NODE_3_length_1424_cov_5.034150_cutoff_5,Chromosome,--
NODE_4_length_1315_cov_67.776252_cutoff_5,Chromosome,--
