Contig name,Prediction,Log-likelihood ratio,Predicted HMMs
NODE_1_length_6446_cov_274.203800_cutoff_198,Chromosome,0,DUF4132
NODE_1_length_11260_cov_269.737995_cutoff_334,Chromosome,-19.68066296441752,FUR NifU_N Aminotran_5 HhH-GPD Peptidase_S11 Peptidase_M32 Ribosomal_L33 Ribosomal_L10 Ribosomal_L12 Ribosomal_L12_N SecE NusG Ribosomal_L11_N Ribosomal_L11 Ribosomal_L1
NODE_2_length_9041_cov_290.045515_cutoff_334,Chromosome,0,BPD_transp_2 ABC_tran ABC_tran DUF3798 PTS_EIIC_2 Putative_PNPOx Acetyltransf_1 Glucosaminidase BPD_transp_2
NODE_1_length_16797_cov_126.940311_cutoff_153,Chromosome,-43.751733389135126,Ribosom_S12_S23 SecE RNA_pol_Rpb2_6 RNA_pol_Rpb2_1 RNA_pol_Rpb2_3 RNA_pol_Rpb2_7 RNA_pol_Rpb2_45 RNA_pol_Rpb2_2 RNA_pol_Rpb2_2 GTP_EFTU_D3 Ribosomal_L1 Ribosomal_L11_N Ribosomal_L11 Ribosomal_L12 Ribosomal_L12_N Ribosomal_S7 GTP_EFTU GTP_EFTU_D3 GTP_EFTU_D2 GTP_EFTU EFG_IV EFG_II EFG_C GTP_EFTU_D2 NusG KOW Ribosomal_L10 RNA_pol_Rpb1_1 RNA_pol_Rpb1_5 RNA_pol_Rpb1_3 RNA_pol_Rpb1_2 RNA_pol_Rpb1_4 RNA_pol_Rpb1_2
NODE_1_length_12491_cov_212.004914_cutoff_91,Plasmid,11.77,DnaB_C Toprim_2 Rep_3 Relaxase Resolvase
NODE_2_length_3375_cov_128.365373_cutoff_91,Chromosome,0,CRISPR_Cas6
NODE_1_length_284058_cov_101.955504_cutoff_54,Chromosome,-4.641729013751645,DNA_pol_B Phage_lysozyme DnaB_C Helicase_C ResIII Fer4_12 HNH_3 Thymidylate_kin DNA_ligase_aden DNA_ligase_OB HHH_2 BRCT dUTPase_2 DNA_topoisoIV AAA AAA DNA_gyraseB_C DNA_gyraseB Toprim HATPase_c Metallophos Peptidase_M23 Glucosaminidase SMI1_KNR4 Radical_SAM SPASM Radical_SAM DUF1963 Collar Radical_SAM DUF1963 DUF2974 D5_N
NODE_2_length_2010_cov_58.732540_cutoff_54,Chromosome,-4.629640253553536,Amidohydro_1 Urease_alpha Urease_alpha
NODE_1_length_92293_cov_10.127375_cutoff_10,Chromosome,0,RNase_H Rad52_Rad22 Bro-N NUMOD1 GIY-YIG HTH_OrfB_IS605 OrfB_Zn_ribbon Intein_splicing AAA AAA_15 Metallophos AntA Metallophos Ribonuc_red_sm Ribonuc_red_sm Toprim_2 OrfB_IS605 OrfB_Zn_ribbon Cpn60_TCP1 AntA ANT 5_3_exonuc_N ANT ANT Phage_pRha Ribonuc_red_lgC Ribonuc_red_lgC Intein_splicing dUTPase DUF5051 ANT RusA DNA_pol_A Ribonuc_red_lgC Ribonuc_red_lgC Ribonuc_red_lgC OrfB_IS605 OrfB_Zn_ribbon HTH_OrfB_IS605 RNase_T
NODE_2_length_87360_cov_10.946851_cutoff_10,Plasmid,2.43,DNA_ligase_A_M Sipho_Gp157 AAA_30 UvrD_C_2 Thy1 DUF932 dUTPase DUF1599
NODE_3_length_42694_cov_14.296079_cutoff_10,Chromosome,-5.687430547704224,Toprim_N Toprim_4 Toprim_2 zf-CHC2 Toprim DnaB_bind HicA_toxin Glucosaminidase Phage_holin_4_1 PhageMin_Tail Methylase_S MTS DUF4406 Peptidase_S49 Phage_int_SAM_4 P22_AR_N HicA_toxin
