Contig name,Prediction,Log-likelihood ratio,Predicted HMMs
NODE_1_length_14787_cov_398.681849_cutoff_334,Chromosome,0,NlpE Peptidase_C11 TonB_dep_Rec Plug T2SS-T3SS_pil_N
NODE_1_length_5330_cov_103.580240_cutoff_54,Chromosome,0,Transposase_mut DDE_Tnp_1
NODE_2_length_5038_cov_86.562387_cutoff_54,Chromosome,0,DDE_Tnp_1 DUF772 DDE_Tnp_1 Glycos_transf_1 Phage_tail_APC
NODE_3_length_1629_cov_44.300902_cutoff_54,Chromosome,0,AAA_14 DUF4143
NODE_1_length_58376_cov_37.030601_cutoff_10,Chromosome,-2.4971416835774463,Peptidase_S78 Prophage_tail Ntox50 DUF3310 Hydrolase_2 Phage_XkdX Bro-N N6_Mtase RVT_1 RVT_1 Tn916-Xis Phage_integrase Integrase_DNA Phage_int_SAM_5 Phage_int_SAM_1 Phage_holin_Dp1 HK97-gp10_like Glyco_hydro_25 LysM CW_7 Terminase_1 Phage_portal DUF2800 Phage_portal
NODE_1_length_85278_cov_1065.558022_cutoff_0,Chromosome,0,LysM HNH_3 DNA_pol_A DNA_pol_A_exo1 DnaB_C GPW_gp25 Baseplate_J Phage_holin_4_1 gp32 Cpn10 Helicase_C ResIII SWI2_SNF2 Ferritin dUTPase PKD BACON AAA_23 SbcCD_C Metallophos AAA_28 HNH_3 RecA Thymidylat_synt KTSC Muraidase DNA_methylase Phage_T4_gp19 PhageMin_Tail 5_3_exonuc_N
NODE_2_length_57670_cov_14.367875_cutoff_0,Plasmid,6.12,IstB_IS21 SSB GIY-YIG Phage_prot_Gp6 DUF4355 NUMOD4 HNH_3 Lactamase_B_2 DUF1351 RecT Terminase_3C HTH_3 HTH_3 HTH_31 DUF3846 LRR_5 LRR_5 Phage_Mu_F Amidase_3 Resolvase Recombinase Zn_ribbon_recom Terminase_3 PTR PTR PTR PTR Peptidase_G2 Phage_holin_5_2 PAPS_reduct Baseplate_J HNH_3 NUMOD4 SLT LysM DarA_C Phage_rep_org_N DUF3383 dUTPase HTH_3 ASCH
NODE_3_length_55531_cov_56.286327_cutoff_0,Plasmid,2.91,PhageMin_Tail Phage_Gp15 Phage_GP20 Phage_lysozyme2 PG_binding_1 DUF2829 UDPG_MGDP_dh UDPG_MGDP_dh_N RusA DUF3799 IstB_IS21 HTH_19 DUF1351 HTH_3 Resolvase Recombinase Zn_ribbon_recom Phage_min_cap2 DUF1653 HTH_3 RecT PemK_toxin HTH_3 LexA_DNA_bind ABC_trans_CmpB Prophage_tail
NODE_4_length_48194_cov_62.728932_cutoff_0,Plasmid,8.12,HNH VRR_NUC SLT DUF4236 HTH_3 Resolvase Zn_ribbon_recom Recombinase Phage_holin_6_1 Phage_portal_2 Phage_cap_E CLP_protease Minor_tail_Z RVT_1 Phage_lysozyme2 LysM LysM CHAP Phage_tube Phage_TAC_7 PhageMin_Tail Phage_tail_X LysM Phage_GPD Phage_P2_GpU Baseplate_J Tail_P2_I AAA_31 DNA_methylase DNA_methylase ParBc DUF3850 Phage_terminase Terminase_GpA
NODE_5_length_33208_cov_790.544445_cutoff_0,Plasmid,17.63,Fic Virulence_RhuM Resolvase HTH_7 AAA_31 Mfa_like_1 DUF1738 MPTase-PolyVal Rep_3 SprT-like T4SS-DNA_transf DUF5119 DUF3575 DUF2582 DUF2582 PLCC Peptidase_M23 DUF4138 DUF4138 Transposon_TraM TraO
